process,Start,Finish,Priority,Arrival_Time,Wait_Time,Turnaround_Time
0.0,0.0,2.0,30.0,2.0,-5.0,0.0
0.0,2.0,4.0,30.0,4.0,-5.0,0.0
1.0,4.0,6.0,35.0,6.0,-4.0,0.0
0.0,6.0,7.0,30.0,7.0,2.0,7.0
2.0,7.0,9.0,36.0,9.0,2.0,4.0
1.0,9.0,11.0,35.0,11.0,5.0,9.0
3.0,11.0,13.0,20.0,13.0,-5.0,0.0
3.0,13.0,15.0,20.0,15.0,-5.0,0.0
3.0,15.0,16.0,20.0,16.0,5.0,10.0
,,,,,3.5,7.5
